customer_id,shop_name,plan,version,enabled_modules,key_configs,recent_changes
C001,晨曦美妆旗舰店,企业版,v4.2.1,"商城,订单,物流,营销,报表,API","微信支付已开通;短信通道阿里云;API token 2026-09-01 轮换","2026-08-20 升级 v4.2.1"
C002,山野户外,专业版,v4.1.3,"商城,订单,物流","支付宝已开通;未开通电子面单",""
C003,糖心甜品铺,基础版,v3.8.5,"商城,订单","微信支付已开通","2026-07-10 新建店铺"
C004,极客数码配件,企业版,v4.2.0,"商城,订单,物流,营销,报表,API","微信+支付宝;API token 每90天轮换;Webhook 地址已配置","2026-09-01 轮换 API token"
C005,桃桃女装,专业版,v4.2.1,"商城,订单,营销","微信支付;优惠券模块已启用;会员等级 v2","2026-08-25 上线秋季大促活动"
C006,牧原生鲜,专业版,v4.1.8,"商城,订单,物流","微信支付;顺丰电子面单已接入","2026-08-05 接入顺丰电子面单"
C007,悦读书房,基础版,v3.8.5,"商城","微信支付已开通",""
C008,潮玩集合站,企业版,v4.2.1,"商城,订单,物流,营销,报表,API","微信+支付宝;企业微信 SSO;短信通道腾讯云","2026-08-15 接入企微 SSO"
C009,沐光家居,专业版,v4.2.0,"商城,订单,报表","支付宝;未开通物流模块",""
C010,鲜果速达,专业版,v4.1.5,"商城,订单,物流","微信支付;京东物流已接入","2026-07-28 接入京东物流"
