code,name,meaning,trigger_condition,known_causes,solution,related_versions
PAY_CALLBACK_TIMEOUT,支付回调超时,买家已付款但商城订单长时间未变成"已支付",买家付款后 5 分钟内未收到支付平台异步通知,"1.商户平台回调地址不通;2.店铺刚升级过版本回调路径变更;3.网络抖动导致通知丢失","1.先在支付商户后台手动查询该笔订单支付状态确认真的已付款;2.检查商城后台「设置-支付-回调地址」是否与商户平台配置一致;3.v4.2 后回调路径改为 /api/v2/pay/notify,升级后需在商户平台更新该地址;4.若仅个别订单,在订单详情点「同步支付状态」即可","v4.1.0+"
PAY_AMOUNT_MISMATCH,订单支付金额不一致,买家实付金额与订单应付金额对不上,支付时或退款时校验金额失败,"1.优惠券/满减计算后金额变更但支付单未刷新;2.运费模板在支付后被修改;3.多端同时下单并发","1.拉取该订单商品明细与优惠明细重新核算应付;2.比对微信/支付宝商户后台该笔交易的实际金额;3.若商家侧金额计算错误,走线下补差并修正优惠配置;4.不要直接让客户重复支付","全版本"
PAY_DUPLICATE_REFUND,重复退款,同一笔退款单被提交了两次,退款接口返回成功但实际打款两次,"1.客服重复点击退款按钮;2.网络超时后前端自动重试;3.退款回调丢失导致误以为失败","1.先在支付商户后台导出退款流水核对实际打款笔数;2.若确实重复打款,联系客户退回多收款或在下笔订单抵扣;3.后台退款按钮 2 秒内防抖,前端已修复;4.在退款记录里标注避免再次重复处理","v4.0.0+"
PAY_REFUND_FAIL,退款失败,退款申请提交后支付侧返回错误,调用退款接口返回非零 code,"1.该笔交易已超过退款期限(通常 1 年);2.商户号余额不足;3.原支付单已撤销;4.买家支付方式为红包/积分混合支付","1.在支付商户后台查退款接口返回的 err_code;2.余额不足则通知财务充值商户号;3.超期则走线下转账退款;4.混合支付订单需在商城后台拆单退款","全版本"
PAY_WECHAT_SIGN_ERROR,微信支付签名错误,前端调起微信支付时报签名校验失败,统一下单接口返回签名错误,"1.商户 API 密钥被修改但商城后台未更新;2.请求参数编码问题;3.API token 刚轮换过未同步","1.核对商城后台「微信支付-API 密钥」与微信商户平台一致;2.v4.2.0 起密钥改为存配置中心,检查配置中心而非旧版本地配置;3.重新生成 API 密钥并在两端同步;4.清缓存重试","v4.2.0+"
PAY_ALIPAY_NOTIFY_FAIL,支付宝异步通知失败,支付宝已扣款但订单未更新,支付宝异步通知到达商城后验签失败,"1.支付宝公钥更换;2.沙箱/正式环境公钥配错;3.回调地址未 HTTPS","1.在支付宝开放平台核对应用公钥与商城后台配置;2.确认回调地址为 HTTPS 且能公网访问;3.用支付宝提供的验签工具手动重放一条通知验证","全版本"
ORDER_STATUS_SYNC_DELAY,订单状态同步延迟,买家已付款/已发货但后台订单状态停留旧状态,状态变更后超过 10 分钟未同步,"1.消息队列积压;2.该店铺近期升级过;3.并发订单量大时批处理延迟","1.先查「订单-同步日志」看最后一次拉取时间;2.单条订单在详情页点「重新同步」;3.若整店延迟超过 1 小时,提交运维看 MQ 积压;4.v4.1.5 起改为实时推送,老版本定时拉取有此问题","v4.0-v4.1.4"
ORDER_STOCK_DEDUCT_FAIL,库存扣减失败,支付成功但库存未扣减或扣成负数,支付回调后库存事务失败,"1.库存与订单不在同一事务;2.超卖保护被关闭;3.商品多仓库配置错误","1.先在「商品-库存」核对该 SKU 当前库存;2.若是超卖,联系买家取消或调货;3.检查商品是否开启「超卖保护」,默认应开启;4.多仓库商品需配置默认发货仓","全版本"
ORDER_EXPORT_TIMEOUT,订单导出超时,导出大量订单时后台转圈最后失败,导出超过 5 万条记录,"1.一次导出条数过多;2.时间跨度太大;3.报表服务排队","1.单次导出不超过 5 万条,按周拆分;2.导出任务在「报表-导出记录」异步进行,不要关页面;3.超过 5 万条走 API 分页拉取;4.闲时(非整点)导出更快","v4.1.0+"
ORDER_CLOSE_FAIL,订单关单失败,订单关闭时报错或关单后库存未回补,调用关单接口失败,"1.订单已部分发货;2.库存回补事务失败;3.订单状态机不允许该操作","1.先确认订单是否已发货,已发货不能直接关单;2.在「订单-操作日志」看失败原因;3.库存未回补的手动在商品库存页补回;4.联系运营走后台关单流程","全版本"
