ticket_id,customer_id,created_at,error_code,raw_text,solution_text,status,handle_minutes
T20260715001,C003,2026-07-15 09:23,PAY_CALLBACK_TIMEOUT,客户说已经微信付了198块钱，但是后台订单一直是待支付，怎么回事？订单号D2026071500886,,resolved,25
T20260715002,C007,2026-07-15 10:41,PRODUCT_REVIEW_AUDIT_FAIL,新品上架被驳回了，说我标题违规，我写的是"纯天然有机棉枕"哪里违规了？,,resolved,15
T20260715003,C001,2026-07-15 14:05,PAY_CALLBACK_TIMEOUT,又一个客户付了钱订单没更新，下午已经第二单了，急！,,resolved,20
T20260716001,C005,2026-07-16 11:18,COUPON_VERIFY_FAIL,满199减30的券客户说用不了，点了就报错，券还有200多张呢,,resolved,30
T20260716002,C010,2026-07-16 15:44,LOGISTICS_TRACK_PUSH_FAIL,京东那边显示已经揽收了，我这边后台还是待发货，轨迹刷新不出来,,resolved,22
T20260717001,C002,2026-07-17 09:52,ORDER_EXPORT_TIMEOUT,我导出这月订单点了导出就一直转圈，半小时了还没好,,resolved,18
T20260717002,C008,2026-07-17 16:30,PAY_WECHAT_SIGN_ERROR,前台调不起微信支付了，报签名错误，今天早上还好好的,,resolved,35
T20260718001,C006,2026-07-18 10:12,WAYBILL_FETCH_FAIL,顺丰面单打不出来，点打印就报错，昨天还能打,,resolved,28
T20260718002,C004,2026-07-18 13:55,API_SIGN_INVALID,我们ERP调用你们接口一直报签名错误，上周还好好的,,resolved,45
T20260719001,C009,2026-07-19 11:30,REPORT_EXPORT_EMPTY,导出来的经营报表是空的？我选的7月1到18号，一行数据没有,,resolved,12
T20260721001,C003,2026-07-21 09:40,PAY_CALLBACK_TIMEOUT,又出现付款了订单不更新的情况，客户在催,,resolved,18
T20260721002,C001,2026-07-21 14:22,ORDER_STOCK_DEDUCT_FAIL,昨天超卖了3单，客户付了钱库存是负的，这怎么搞,,resolved,50
T20260722001,C005,2026-07-22 10:05,COUPON_VERIFY_FAIL,有客户反馈领了满200减50的券下单提示已使用，但是他根本没用过,,resolved,32
T20260722002,C008,2026-07-22 15:18,SSO_LOGIN_FAIL,企微扫码登录后台今天开始报错，提示回调失败,,resolved,40
T20260723001,C010,2026-07-23 09:33,LOGISTICS_TRACK_PUSH_FAIL,京东轨迹又不更新了，从昨天到现在都没动静,,resolved,25
T20260723002,C002,2026-07-23 14:47,ORDER_EXPORT_TIMEOUT,导出订单超过50000条是不是导不出来？我这直接失败了,,resolved,15
T20260724001,C006,2026-07-24 11:20,WAYBILL_FETCH_FAIL,顺丰今天面单额度是不是用完了？打了200多单后开始报错,,resolved,20
